ListSizes,TestResult
0,0
1000,9
2000,15
3000,27
4000,40
5000,48
6000,62
7000,75
8000,79
9000,98
10000,102
11000,116
12000,124
13000,137
14000,151
15000,159
16000,173
17000,180
18000,192
19000,199
20000,214
21000,234
22000,245
23000,251
24000,259
25000,269
26000,271
27000,293
28000,314
29000,305
30000,314
31000,332
32000,338
33000,366
34000,385
35000,385
36000,392
37000,416
38000,412
39000,440
40000,435
41000,469
42000,485
43000,495
44000,485
45000,541
46000,520
47000,546
48000,548
49000,541
50000,552
51000,548
52000,555
53000,588
54000,584
55000,672
56000,655
57000,621
58000,635
59000,637
60000,651
61000,696
62000,696
63000,698
64000,699
65000,749
66000,753
67000,795
68000,780
69000,781
70000,771
71000,783
72000,786
73000,825
74000,892
75000,853
76000,840
77000,851
78000,847
79000,876
80000,866
81000,879
82000,877
83000,904
84000,900
85000,961
86000,968
87000,937
88000,946
89000,959
90000,969
91000,992
92000,1003
93000,996
94000,1019
95000,1030
96000,1037
97000,1073
98000,1054
99000,1071
100000,1074
101000,1093
102000,1100
103000,1190
104000,1227
105000,1149
106000,1171
107000,1239
108000,1224
109000,1285
110000,1424
111000,1372
112000,1373
113000,1350
114000,1338
115000,1294
116000,1280
117000,1300
118000,1377
119000,1370
120000,1345
121000,1351
122000,1389
123000,1411
124000,1406
125000,1425
126000,1499
127000,1461
128000,1478
129000,1560
130000,1529
131000,1512
132000,1447
133000,1550
134000,1502
135000,1543
136000,1492
137000,1504
138000,1541
139000,1583
140000,1614
141000,1636
142000,1608
143000,1683
144000,1633
145000,2013
146000,2052
147000,1725
148000,1643
149000,1660
150000,1671
151000,1883
152000,1763
153000,1869
154000,1884
155000,1908
156000,1845
157000,1808
158000,1824
159000,1798
160000,1809
161000,1836
162000,1822
163000,1893
164000,1856
165000,1857
166000,1886
167000,1878
168000,1901
169000,1945
170000,1979
171000,1914
172000,2012
173000,1985
174000,2057
175000,2099
176000,2178
177000,2019
178000,2038
179000,2120
180000,2122
181000,2186
182000,2284
183000,2079
184000,2152
185000,2091
186000,2381
187000,2148
188000,2225
189000,2192
190000,2270
191000,2253
192000,2130
193000,2186
194000,2276
195000,2118
196000,2336
197000,2310
198000,2224
199000,2230
