K,Time Results for K
0,12
1000,12
2000,12
3000,14
4000,12
5000,12
6000,12
7000,13
8000,12
9000,12
10000,12
11000,12
12000,12
13000,11
14000,12
15000,12
16000,12
17000,12
18000,12
19000,12
20000,12
21000,12
22000,12
23000,12
24000,13
25000,11
26000,12
27000,12
28000,12
29000,12
30000,12
31000,12
32000,13
33000,12
34000,12
35000,13
36000,12
37000,12
38000,12
39000,12
40000,12
41000,13
42000,12
43000,12
44000,12
45000,12
46000,12
47000,12
48000,12
49000,12
50000,14
51000,12
52000,12
53000,19
54000,14
55000,12
56000,12
57000,12
58000,12
59000,11
60000,12
61000,12
62000,12
63000,13
64000,12
65000,11
66000,12
67000,12
68000,12
69000,12
70000,12
71000,12
72000,12
73000,12
74000,12
75000,11
76000,12
77000,12
78000,12
79000,12
80000,12
81000,12
82000,12
83000,12
84000,12
85000,12
86000,14
87000,12
88000,12
89000,12
90000,12
91000,13
92000,12
93000,14
94000,12
95000,12
96000,12
97000,11
98000,12
99000,12
100000,12
101000,12
102000,12
103000,12
104000,12
105000,12
106000,12
107000,12
108000,12
109000,12
110000,14
111000,12
112000,12
113000,12
114000,13
115000,14
116000,12
117000,13
118000,12
119000,13
120000,14
121000,13
122000,13
123000,13
124000,12
125000,13
126000,12
127000,12
128000,13
129000,12
130000,12
131000,13
132000,12
133000,13
134000,15
135000,17
136000,15
137000,14
138000,13
139000,12
140000,12
141000,12
142000,12
143000,13
144000,12
145000,12
146000,14
147000,13
148000,16
149000,12
150000,14
151000,15
152000,15
153000,12
154000,13
155000,14
156000,13
157000,12
158000,12
159000,12
160000,12
161000,12
162000,12
163000,12
164000,12
165000,12
166000,12
167000,12
168000,12
169000,12
170000,12
171000,13
172000,12
173000,13
174000,12
175000,12
176000,12
177000,12
178000,12
179000,12
180000,13
181000,12
182000,12
183000,12
184000,12
185000,12
186000,12
187000,12
188000,12
189000,12
190000,14
191000,12
192000,12
193000,13
194000,12
195000,12
196000,12
197000,12
198000,12
199000,11
