DictionarySize,Test1Result,Test2Result,Test3Result
0,0,0,0
1000,0,1,2
2000,1,2,4
3000,1,3,5
4000,4,4,9
5000,7,5,10
6000,8,7,11
7000,9,4,12
8000,15,11,18
9000,21,14,18
10000,22,12,19
11000,31,13,21
12000,34,15,22
13000,33,17,23
14000,41,25,23
15000,47,43,25
16000,71,40,37
17000,89,41,38
18000,120,40,41
19000,116,44,42
20000,122,50,42
21000,158,55,44
22000,166,54,45
23000,306,66,50
24000,205,64,47
25000,228,80,50
26000,268,76,49
27000,269,77,49
28000,359,119,51
29000,366,124,56
30000,447,103,54
31000,523,105,55
32000,575,139,81
33000,621,166,83
34000,650,160,81
35000,677,199,103
36000,684,198,98
37000,675,174,89
38000,770,190,90
39000,755,196,91
40000,804,245,89
41000,831,230,91
42000,823,245,92
43000,877,238,94
44000,942,230,93
45000,1038,258,94
46000,1045,251,96
47000,1100,305,97
48000,1230,273,102
49000,1219,307,101
50000,1306,371,100
51000,1354,365,106
52000,1427,428,106
53000,1438,370,104
54000,1797,410,105
55000,1770,395,107
56000,1700,424,109
57000,1885,401,111
58000,1987,423,113
59000,2642,396,111
60000,2142,520,113
61000,2417,491,117
62000,2763,502,114
63000,2752,527,120
64000,3048,604,172
65000,3023,632,171
66000,3297,621,174
67000,3358,663,184
68000,4009,694,182
69000,3685,698,179
70000,4295,676,176
71000,4458,721,181
72000,3724,759,187
73000,4242,789,185
74000,5033,901,184
75000,5377,938,189
76000,4712,821,183
77000,4778,837,187
78000,4172,925,187
79000,4977,906,191
